brand,styles,price_range,fit_types
ALLSAINTS,"edgy, minimalist",$$$,"slim, tailored"
Theory,"business casual, minimalist",$$$,"tailored, regular"
Corridor NYC,"streetwear, edgy",$$,"slim, relaxed"
Uniqlo,"minimalist, casual",$,"regular, relaxed"
Lululemon,"athletic, minimalist",$$,"slim, athletic"
Abercrombie & Fitch,"casual, streetwear",$$,"regular, relaxed"
Banana Republic,"classic, modern",$$,"regular, tailored"
J.Crew,"preppy, classic",$$,"regular, tailored"
Club Monaco,"modern, sophisticated",$$$,"tailored, regular"
Cos,"minimalist, modern",$$,"regular, relaxed"
Pool House New York,"casual, eclectic",$$,regular
SSense,"contemporary, edgy",$$$,"slim, tailored"
Nordstrom,"classic, curated",$$$,regular
Diesel,"urban, edgy",$$$,"regular, slim"
Levi's,"casual, denim-focused",$$,regular
Rag & Bone,"modern, urban",$$$,"slim, tailored"
Olive,"modern, casual",$$,regular
Zara,"trendy, fast-fashion",$,regular
H&M,"trendy, fast-fashion",$,regular
Topman,"trendy, youthful",$,slim
Gap,"classic, casual",$,regular
Massimo Dutti,"elegant, classic",$$$,"tailored, regular"
Bonobos,"modern, casual",$$,"regular, tailored"
Todd Snyder,"modern, refined",$$$,"tailored, slim"
Vuori,"athletic, casual",$$,"slim, relaxed"
Vince,"modern, minimalist",$$$,"regular, relaxed"
Everlane,"minimalist, sustainable",$$,"regular, relaxed"
Patagonia,"outdoor, rugged",$$,"regular, relaxed"
The North Face,"outdoor, technical",$$,regular
Suit Supply,"modern, tailored",$$$,tailored
Brooks Brothers,"classic, formal",$$$,"regular, tailored"
Lacoste,"preppy, sporty",$$$,regular
Polo Ralph Lauren,"classic, preppy",$$$,"regular, tailored"
Tommy Hilfiger,"preppy, modern",$$$,"regular, tailored"
Calvin Klein,"minimalist, modern",$$$,"slim, regular"
Armani,"luxury, classic",$$$$,tailored
Hugo Boss,"modern, formal",$$$$,"tailored, slim"
Prada,"luxury, avant-garde",$$$$,"tailored, slim"
Gucci,"luxury, eclectic",$$$$,"tailored, bold"
Burberry,"classic, luxury",$$$$,"regular, tailored"
Louis Vuitton,"luxury, iconic",$$$$,"tailored, regular"
Balenciaga,"avant-garde, edgy",$$$$,"slim, tailored"
